,upc,sku
1093,8.89296E+11,277459878
1094,8.89894E+11,285609101
1095,8.89349E+11,293753452
1096,8346043019,292334691
1100,8.84116E+11,281094481
1102,8.86228E+11,266635276
1103,8.879E+11,278242392
1105,8.89895E+11,292333708
1111,8.89894E+11,285532841
1115,8.88863E+11,282264661
1119,8.87758E+11,260472477
1124,8.89661E+11,292334347
1125,8.89894E+11,285045146
1126,8.84116E+11,247768760
1127,8.88772E+11,265665322
1129,8.54034E+11,277631511
1132,8.89894E+11,285643389
1135,8.879E+11,275380037
1136,8.88966E+11,273922914
1139,8.89349E+11,287022424
1140,8.84116E+11,292336727
1141,8.89349E+11,292333984
1142,8.86228E+11,268916738
1144,8.84116E+11,287496123
1146,8.879E+11,276427111
1147,8.86228E+11,271381992
1148,8.88794E+11,269143441
1149,8.84116E+11,287792055
1150,8.88794E+11,285916231
1151,8.879E+11,275139560
1152,8.88793E+11,271560942
1154,8.898E+11,284120150
1156,8.89233E+11,292339216
1158,8.89661E+11,285536788
1160,8.89349E+11,292333965
1161,8.89895E+11,293374143
1162,8.84116E+11,292508538
1163,8.89234E+11,292341113
1164,8.89894E+11,285905194
1165,8.89894E+11,285532905
1167,8.88863E+11,279287013
1168,8.86389E+11,295076998
1171,8.84116E+11,285916763
1173,8.84116E+11,295215578
1176,22265893371,292332945
1179,8.86228E+11,285927298
1182,8.89894E+11,287422412
1185,8.07405E+11,292334686
1189,8.88794E+11,272326566
1190,8.879E+11,270439579
1192,8.89661E+11,296965527
1196,8.84116E+11,293056322
1201,8.899E+11,295785772
1202,8.87758E+11,249867138
1206,8.86228E+11,268331210
1211,8.89349E+11,293728820
1213,8.88863E+11,290195568
1220,8.89956E+11,289208612
1222,8.88632E+11,265665328
1224,8.88793E+11,265669640
1225,8.84116E+11,284199965
1226,8.89895E+11,293374175
1227,8.88182E+11,285929863
1229,8.89349E+11,288342348
1230,1.90405E+11,294599933
1234,8.89296E+11,292332979
1236,8.86228E+11,276648877
1241,8.89661E+11,296965925
1242,8.89899E+11,294470866
1244,8.87276E+11,287739664
1246,8.89233E+11,283160641
1249,8.25633E+11,293815338
1252,8.89296E+11,276891778
1254,8.89349E+11,287013565
1255,8.84116E+11,292342960
1256,8.89661E+11,292337839
1257,8.84116E+11,292620315
1259,8.88793E+11,264393323
1262,8.88794E+11,274971807
1264,8.88441E+11,261498091
1266,22265800959,285915276
1267,8.89895E+11,288355792
1269,8.89297E+11,281565821
1270,22265929155,276102818
1272,8.89233E+11,292336886
1274,8.89296E+11,277459907
1276,8.88863E+11,288389784
1280,8.88863E+11,279287012
1283,8.84116E+11,292620307
1284,8.879E+11,260974728
1286,8.89899E+11,295677518
1289,1.90576E+11,294599894
1290,1.90152E+11,294339686
1291,8.89955E+11,287619084
1293,8.89955E+11,289208759
1295,8.879E+11,270095410
1297,8.87111E+11,265307665
1300,8.86228E+11,276487225
1302,8.84116E+11,281846597
1303,8.89234E+11,276172568
1306,6.41676E+11,292186131
1307,8.86228E+11,260974723
1309,8.88182E+11,259746081
1310,8.84116E+11,292510558
1313,8.89349E+11,289301614
1314,8.87899E+11,249797192
1316,8.86228E+11,294593263
1319,8.87899E+11,259162822
1324,8.879E+11,270284048
1325,8.89894E+11,284720417
1329,8.84116E+11,271513971
1334,8.89296E+11,292333273
1337,8.84116E+11,294818768
1339,8.84116E+11,260728715
1340,8.84323E+11,292338592
1342,8.89899E+11,295853893
1343,8.88632E+11,265454764
1345,8.84116E+11,292620280
1347,8.84116E+11,284199989
1352,8.87759E+11,254302305
1355,8.89349E+11,287015046
1357,8.87899E+11,260974754
1358,8.84116E+11,270725175
1359,8.88632E+11,263026315
1360,22265805015,265544310
1364,8.89894E+11,288882768
1367,8.86228E+11,268331141
1370,7.58479E+11,285534251
1372,8.88864E+11,294785645
1374,8.84116E+11,294949628
1376,12302563848,271718630
1383,8.89661E+11,288361734
1385,8.84116E+11,291926651
1388,8.84116E+11,283405414
1389,8.84116E+11,293745196
1390,8.88794E+11,292333080
1391,8.89661E+11,287457527
1392,12302566450,272205457
1396,8.89661E+11,287423014
1399,8.87899E+11,260974727
1402,8.879E+11,292338494
1403,8.88966E+11,270638068
1404,8.88793E+11,266416494
1415,8.89349E+11,287015043
1417,8.88793E+11,266839025
1419,8.88793E+11,285919528
1421,6.16983E+11,272279281
1422,8.89233E+11,292342813
1424,8.88863E+11,290195584
1425,8.89233E+11,281452427
1426,8.89895E+11,288355781
1428,8.89562E+11,297097439
1432,8.879E+11,265486568
1433,8.86228E+11,270607142
1434,8.899E+11,296904550
1435,8.899E+11,296115656
1436,8.899E+11,296115676
1439,22265805916,292333714
1444,8.89895E+11,294669695
1446,8.84116E+11,292341252
1449,8.88632E+11,265455365
1451,8.84116E+11,284199984
1452,8.89296E+11,277671885
1453,22265558478,258197144
1456,8.88966E+11,273113738
1459,8.84116E+11,276064798
1461,8.84116E+11,287962708
1464,8.89296E+11,282989271
1467,8.89956E+11,289208817
1468,8.89234E+11,278369122
1470,8.88863E+11,288389830
1471,8.88793E+11,266839012
1474,8.88794E+11,270406447
1475,8.89955E+11,286103304
1476,22265556825,259720882
1480,8.88863E+11,281399316
1481,8.88863E+11,288389782
1484,22265556818,285917100
1486,8.84116E+11,284199962
1488,8.84116E+11,276062985
1489,8.84116E+11,292342486
1494,8.84116E+11,284199964
1499,8.88863E+11,296965546
1500,8.88793E+11,285918259
1501,8.88863E+11,290195597
1503,7.29129E+11,295019269
1504,22265691854,260495211
1505,8.89661E+11,285536762
1506,8.88793E+11,276126086
1507,8.89661E+11,292341554
1509,8.879E+11,271838120
1510,8.88864E+11,294785607
1511,8.879E+11,275297473
1512,8.89895E+11,291825752
1514,8.879E+11,270649140
1515,8.88793E+11,288351721
1516,8.87899E+11,260974757
1517,8.88794E+11,284251436
1521,8.89296E+11,276891738
1522,8.89899E+11,294506673
1523,8.84116E+11,293056304
1524,22265805169,287725886
1527,8.89955E+11,287699485
1528,8.89955E+11,297145449
1531,8.89895E+11,288355793
1534,8.88631E+11,265461402
1541,8.89661E+11,283655772
1543,8.89956E+11,287723241
1544,8.84116E+11,277229793
1546,8.88864E+11,292051321
1547,8.89955E+11,286069340
1550,8.89296E+11,277459898
1551,8.86228E+11,276487215
1553,8.89296E+11,276891755
1554,8.89661E+11,283972005
1556,8.84116E+11,293056308
1557,8.89349E+11,284622613
1558,22265861639,292333764
1559,8.89894E+11,287881549
1561,8.89661E+11,294143231
1563,8.89894E+11,287881538
1564,8.45226E+11,240764106
1566,8.88228E+11,285916986
1568,1.90151E+11,291752822
1569,8.89296E+11,292333834
1571,8.84116E+11,292340399
1573,1.90152E+11,294669240
1575,8.88772E+11,265461403
1576,8.89894E+11,287725770
1580,8.89956E+11,289208882
1581,8.84116E+11,287496082
1585,8.89296E+11,276172629
1587,8.84116E+11,292644309
1588,8.899E+11,295658069
1590,8.879E+11,268696705
1592,8.88794E+11,285918296
1593,22265810026,272302805
1594,8.84116E+11,276788402
1595,8.89801E+11,285097151
1596,1.90151E+11,291752821
1601,8.89801E+11,285096939
1606,8.86228E+11,270607121
1610,8.84116E+11,293056311
1611,1.90152E+11,294683832
1612,8.88864E+11,292051320
1613,8.88864E+11,292051303
1614,8.899E+11,296785085
1616,8.88183E+11,261131790
1619,8.88863E+11,290660081
1622,22265807330,270829472
1623,8.88863E+11,281379413
1624,8.89894E+11,287881494
1625,8.89894E+11,287881539
1627,1.90152E+11,294339665
1628,8.84116E+11,287762203
1631,8.87111E+11,247323661
1632,8.89349E+11,287703081
1637,8.89349E+11,288778733
1638,8.898E+11,283671264
1640,8.86228E+11,276648876
1641,22265509661,250988008
1643,8.89349E+11,291204793
1644,8.89801E+11,285097363
1647,8.879E+11,273837945
1653,8.88863E+11,284927058
1654,8.88793E+11,285924140
1656,8.89349E+11,295841266
1657,7.3665E+11,292336156
1658,8.89297E+11,289313202
1661,1.90151E+11,292609170
1662,8.88772E+11,279650591
1664,8.84116E+11,291935559
1669,8.88864E+11,294011393
1670,8.89661E+11,292342087
1672,8.89349E+11,295869629
1675,8.86228E+11,265035554
1677,8.88864E+11,297007562
1678,8.89894E+11,284134268
1679,8.84116E+11,291740255
1680,8.89349E+11,294065999
1681,8.84116E+11,284199968
1683,8.84116E+11,283405407
1687,8.89956E+11,289208663
1691,8.88183E+11,262018727
1693,8.879E+11,277715784
1697,8.88965E+11,285917683
1698,8.88863E+11,292341549
1705,8.88863E+11,279286944
1708,8.879E+11,277798077
1709,8.88966E+11,292339215
1711,8.84116E+11,270717401
1712,22265946008,292334863
1715,8.89296E+11,283737873
1718,8.88863E+11,278353620
1720,8.88793E+11,277905105
1724,8.89956E+11,295827023
1725,8.86228E+11,270607114
1728,8.88966E+11,275279406
1729,8.89233E+11,277569998
1730,1.90576E+11,294918194
1735,8.84116E+11,292342295
1738,8.84116E+11,292620297
1739,8.86227E+11,242783094
1743,8.88228E+11,256104975
1749,8.89234E+11,276172681
1751,8.84116E+11,287762333
1758,8.89296E+11,285641826
1762,8.89894E+11,286103540
1767,8.84116E+11,277141992
1769,8.88863E+11,286997649
1770,8.88864E+11,292051296
1771,8.89297E+11,280521931
1772,8.89894E+11,292333491
1773,22265807323,270954469
1775,8.89349E+11,296113081
1777,8.89894E+11,284133777
1782,8.89661E+11,283490372
1783,8.898E+11,284974750
1785,8.899E+11,295552345
1786,7.58479E+11,285534255
1790,8.87276E+11,264481285
1792,22265891353,285914769
1794,8.87759E+11,259495424
1802,8.84116E+11,292644276
1803,8.89297E+11,286115220
1804,8.89895E+11,288293383
1806,8.86389E+11,295076961
1809,8.88632E+11,265455763
1812,8.88183E+11,262285932
1813,8.879E+11,265486545
1815,8.88863E+11,292335295
1817,8.88864E+11,293400331
1822,8.86228E+11,292334048
1825,8.84116E+11,281846604
1826,8.89234E+11,287039772
1827,8.88864E+11,292051300
1829,8.84116E+11,293744915
1830,8.84116E+11,292341251
1831,8.89894E+11,285716273
1832,6.98833E+11,217497917
1834,8.84116E+11,292620298
1835,8.84116E+11,292620308
1838,8.88182E+11,259130200
1840,8.89899E+11,293374208
1842,8.89233E+11,292341546
1844,8.89894E+11,285588475
1846,8.89801E+11,285097436
1847,22265805671,291380112
1848,8.84116E+11,263383170
1850,7.01844E+11,292513444
1851,8.88863E+11,285617808
1852,8.89233E+11,272497462
1854,1.90151E+11,292609222
1855,8.88182E+11,257571506
1864,8.8844E+11,265311725
1865,8.86228E+11,281423222
1868,8.879E+11,270649126
1871,8.84116E+11,287762506
1872,8.88632E+11,292333895
1874,22265816530,267703360
1875,8.88863E+11,288389783
1879,8.86228E+11,277380597
1881,8.84116E+11,278343091
1882,8.89349E+11,292488573
1884,8.89349E+11,289372409
1885,8.84116E+11,272960389
1886,8.89661E+11,283656175
1887,8.86227E+11,265474929
1892,8.84116E+11,294786427
1893,8.84116E+11,294818758
1895,8.89895E+11,288043745
1896,8.89894E+11,287491554
1898,1.90151E+11,292076363
1899,8.8591E+11,250929859
1900,8.879E+11,272971430
1901,8.88794E+11,270406407
1908,8.89895E+11,293075198
1911,8.89661E+11,296586861
1912,8.87759E+11,285916652
1914,6.34393E+11,287001391
1917,8.84116E+11,284199992
