,upc,sku,
261,8.88794E+11,271886097,1
262,8.86228E+11,294490206,1
263,8.88794E+11,272210158,1
264,8.89297E+11,292332823,1
265,7.10884E+11,0,0
266,8.89894E+11,293559289,1
267,8.86228E+11,268946186,1
268,7.93523E+11,0,0
269,8.86228E+11,292336472,1
270,7.09153E+11,0,0
271,8.89894E+11,0,0
272,8.86228E+11,259910289,1
273,8.86228E+11,285916247,1
274,8.89895E+11,288372471,1
275,8.89894E+11,284575841,1
276,8.84116E+11,292620295,1
277,8.88863E+11,293832264,1
278,7.41271E+11,0,0
279,8.88863E+11,280917167,1
280,8.89349E+11,280934875,1
281,8.89297E+11,282211192,1
282,8.87759E+11,0,0
283,6.41676E+11,0,0
284,8.89349E+11,294506727,1
285,8.88864E+11,293753903,1
286,22265585726,0,0
287,8.86228E+11,271381869,1
288,8.12177E+11,277578759,1
289,7.95962E+11,292335033,1
290,8.25633E+11,0,0
291,8.25633E+11,0,0
292,8.89661E+11,0,0
293,8.88863E+11,287010761,1
294,8.879E+11,267481625,1
295,6.62725E+11,229198842,1
296,8.88863E+11,0,0
297,7.30639E+11,0,0
298,8.89661E+11,0,0
299,6.23506E+11,0,0
300,8.88794E+11,0,0
301,8.879E+11,0,0
302,8.89895E+11,294355999,1
303,8.88863E+11,290660117,1
304,8.89899E+11,0,0
305,8.89899E+11,293655838,1
306,8.87899E+11,260245288,1
307,7.00444E+11,0,0
308,8.86228E+11,268762778,1
309,8.84116E+11,265607807,1
310,8.89894E+11,292333709,1
311,8.88794E+11,291465200,1
312,8.88182E+11,269337587,1
313,8.88863E+11,284118218,1
314,8.87112E+11,0,0
315,8.89349E+11,295819919,1
316,6.02716E+11,0,0
317,8.88793E+11,0,0
318,22265803295,292338476,1
319,8.879E+11,264816820,1
320,8.86228E+11,285927349,1
321,6.17561E+11,0,0
322,8.88182E+11,255960723,1
323,6.49906E+11,0,0
324,8.88183E+11,0,0
325,8.89894E+11,0,0
326,8.88794E+11,0,0
327,7.00444E+11,0,0
328,8.89894E+11,287645041,1
329,8.89661E+11,0,0
330,6.23506E+11,0,0
331,8.84116E+11,0,0
332,8.89296E+11,292334121,1
333,8.12177E+11,0,0
334,8.89296E+11,292333869,1
335,8.88863E+11,0,0
336,8.13567E+11,281396367,1
337,8.88863E+11,0,0
338,8.8484E+11,0,0
339,6.16983E+11,0,0
340,8.86228E+11,0,0
341,7.99418E+11,0,0
