,upc
2164,888863429301
2165,888772000400
2166,889233745649
2167,888793137819
2168,887899938092
2169,888182667859
2170,889233137024
2171,889894685742
2172,889349135716
2173,700038687517
2174,889296306702
2175,190151299306
2176,766653301795
2177,889955674630
2178,888793664698
2179,888793710449
2180,886227996094
2181,888182131602
2182,884116228806
2183,888793128183
2184,889899601419
2185,824142020500
2186,884116228745
2187,744881677653
2188,758524789955
2189,889661070504
2190,888793457504
2191,884116167471
2192,888793150085
2193,889661118527
2194,889955950468
2195,884116228721
2196,889894890795
2197,888182729342
2198,888182935378
2199,888793213049
2200,889661064091
2201,887899558382
2202,884116145394
2203,884116167617
2204,888182971017
2205,888772072445
2206,888182266267
2207,889296311294
2208,888182376119
2209,886227577811
2210,889661015192
2211,889894529015
2212,887758815557
2213,884116173748
2214,766653301825
2215,888793835432
2216,190151538498
2217,889349197561
2218,888793253977
2219,887758993941
2220,888793105306
2221,888440419176
2222,888965666109
2223,889661118565
2224,889894914781
2225,889894938114
2226,889349188491
2227,889894144027
2228,889894143884
2229,889800408595
2230,889661057789
2231,22265803226
2232,839438600663
2233,884116203803
2234,886227977031
2235,889561678640
2236,884116165767
2237,887111843197
2238,889899480786
2239,889296825111
2240,889894492159
2241,884116144717
2242,889894150677
2243,889955798459
2244,888440419152
2245,888793492031
2246,700038650382
2247,888182266328
2248,887899613258
2249,641676239730
2250,886227603206
2251,889661015710
2252,22265509654
2253,889561835692
2254,888772145224
2255,888182278802
2256,888793755914
2257,766653301542
2258,888182433157
2259,889894497628
2260,641676236548
2261,889233936238
2262,889800654190
2263,889955583734
2264,889894536792
2265,641676239105
2266,887899644979
2267,889894972965
2268,22265651704
2269,889296620495
2270,889296620921
2271,884116212232
2272,889894492265
2273,888182783351
2274,889955389237
2275,889800999918
2276,886389110895
2277,889955351029
2278,889894540492
2279,886227953646
2280,889349356258
2281,888863509287
2282,888793943991
2283,888793057506
2284,889894566515
2285,889349186787
2286,766653301092
2287,881314941629
2288,793889060875
2289,889955052186
2290,884116228813
2291,884116205876
2292,824142128114
2293,889296541554
2294,888228536231
2295,889233956823
2296,888863250929
2297,616175508687
2298,884116212256
2299,634392676798
2300,884116154822
2301,888182272565
2302,634746193278
2303,889894542892
2304,889894508652
2305,884116204077
2306,888793835425
2307,884116205517
2308,754509643007
2309,888182655238
2310,888793154168
2311,814066016239
2312,889899248225
2313,888228103228
2314,889894592033
2315,886227742219
2316,411378263568
2317,884116204862
2318,886227695980
2319,888228506753
2320,889955085641
2321,888793696668
2322,889894960405
2323,889894536037
2324,889894967138
2325,848090003781
2326,889349248331
2327,886227818549
2328,700038688736
2329,700038688538
2330,889233077672
2331,824142022283
2332,22265800973
2333,887173695307
2334,889800007491
2335,889349310625
2336,889955350732
2337,888228049663
2338,889894442192
2339,888182221228
2340,750253263195
2341,888182069936
2342,888863517138
2343,889899602355
2344,886389110628
2345,884116228882
2346,889894314789
2347,887899645006
2348,700038687227
2349,889349171875
2350,889233866528
2351,889894330581
2352,888863002504
2353,889894497635
2354,22265803219
2355,889661060796
2356,884962667941
2357,22265959510
2358,889233055083
2359,889955754974
2360,889296228257
2361,741271364094
2362,190151354678
2363,887899688225
2364,888793589151
2365,22265866269
2366,888793137918
2367,889661015642
2368,888631083001
2369,888863315031
2370,888863577255
2371,884116216346
2372,889661015413
2373,889349071090
2374,884116135593
2375,889661014676
2376,888863333066
2377,884116164807
2378,759796036143
2379,888793727515
2380,889349024430
2381,645743696150
2382,888631850405
2383,814930024537
2384,886227583232
2385,888965470287
2386,889661064879
2387,889894347589
2388,889661071051
2389,888772213756
2390,884116164821
2391,889233311301
2392,889800846625
2393,886389110994
2394,889296400011
2395,884116222149
2396,889894928702
2397,766623406116
2398,884116183419
2399,888793326558
2400,222659279150
2401,22265930656
2402,884116165828
2403,766653301474
2404,889894891129
2405,888863563142
2406,884116204978
2407,889894315953
2408,889894960726
2409,888182186244
2410,888863528226
2411,889349249673
2412,889894539168
2413,888182224342
2414,884116164654
2415,889296070030
2416,884116167631
2417,190151789814
2418,884116144687
2419,888182276471
2420,888863212163
2421,884116154815
2422,888793461402
2423,886227985098
2424,889800715679
2425,190151384996
2426,812890011628
2427,886227780792
2428,886227780822
2429,887619460988
2430,886227827053
2431,190151546608
2432,884116144700
2433,889894276421
2434,889349355565
2435,889894204974
2436,889894492272
2437,884116166757
2438,886227668410
2439,889233098875
2440,888793253984
2441,889349188576
2442,888182317723
2443,885909464036
2444,884116136040
2445,888863578146
2446,889894164612
2447,736983153135
2448,888793347652
2449,884116144694
2450,888182323465
2451,887899473302
2452,884116154884
2453,884116154877
2454,884116145158
2455,888228331539
2456,889233543313
2457,889955547347
2458,884116228707
2459,884116167648
2460,887942721220
2461,884116164739
2462,889661015154
2463,889296194217
2464,889233095393
2465,884116228868
2466,889894492166
2467,886227684212
2468,888965842299
2469,22265870143
2470,744881686952
2471,889661132851
2472,884116203858
2473,888228783000
2474,888863131945
2475,889296253105
2476,888793668962
2477,884116168843
2478,889800317682
2479,889955818928
2480,824142126394
2481,889899602331
2482,889296620501
2483,888793333822
2484,27242962460
2485,885909582969
2486,884116204947
2487,889233313817
2488,889296839965
2489,889955407924
2490,888772782351
2491,889561414057
2492,889894211361
2493,888462866019
2494,889894315984
2495,889296619864
2496,887276121123
2497,27242962675
2498,884116212416
2499,884116138389
2500,889955950437
2501,886227668441
2502,889349297933
2503,889349291320
2504,889296619857
2505,889661118503
2506,889661015963
2507,884116147992
2508,884116183211
2509,884116212379
2510,888182623282
2511,889955052162
2512,889349172889
2513,884116203872
2514,889894426475
2515,889955547354
2516,888863509324
2517,889296200192
2518,889233273302
2519,888793057568
2520,742230390437
2521,888182478004
2522,886227986811
2523,744881669689
2524,884116211952
2525,190151599772
2526,889894529145
2527,889894206152
2528,889349301159
2529,824142121306
2530,889800024856
2531,715407513403
2532,888182338810
2533,888228536415
2534,824142126547
2535,715407514691
2536,889894316004
2537,889349273753
2538,889349085622
2539,888772072438
2540,889233003817
2541,889233098226
2542,884116166634
2543,889800613289
2544,887899645075
2545,884116204107
2546,888631798486
2547,884116136194
2548,889955003522
2549,888440144580
2550,889349313107
2551,889349333280
2552,889800855542
2553,884116228875
2554,889233130452
2555,889233128374
2556,824142124673
2557,888793197745
2558,190151670433
2559,889894506900
2560,889296218425
2561,888631694108
2562,884116173007
2563,889894869449
2564,889296069850
2565,889894527073
2566,884116136910
2567,888462109765
2568,889661017967
2569,857678005123
2570,889233113707
2571,888793329009
2572,886227774449
2573,889955256584
2574,887111039095
2575,888182340813
2576,888863613700
2577,888793011287
2578,719192198876
2579,888462342131
2580,888228486260
2581,884116150046
2582,888863333011
2583,887899856501
2584,888462341554
2585,889955477507
2586,886227962044
2587,726419826740
2588,887899981579
2589,889894164407
2590,889894960900
2591,889894973306
2592,824142020517
2593,889800654671
2594,725184097409
2595,888863212170
2596,22265691588
2597,889955020635
2598,889296542636
2599,887899989889
2600,888863381593
2601,884116168850
2602,884116148449
2603,887276093482
2604,888182971802
2605,889894613851
2606,884116204466
2607,22265691625
2608,634746192332
2609,190576764168
2610,22265946022
2611,889661060949
2612,889661047650
2613,889349172957
2614,889661015215
2615,888228696942
2616,634753045034
2617,888462025249
2618,735770000010
2619,889800855559
2620,781462214500
2621,889661026044
2622,888182064320
2623,889955248558
2624,889894727275
2625,889894891136
2626,887899644986
2627,889800654527
2628,885170176102
2629,824142112434
2630,886227827428
2631,888462341851
2632,886227980345
2633,76783016996
2634,889296252870
2635,886227966592
2636,886227765782
2637,889349124673
2638,889349126684
2639,888182289297
2640,888793414330
2641,889894531049
2642,886227644377
2643,889955605573
2644,888793839041
2645,700038689627
2646,700038688460
2647,889894928665
2648,889894146151
2649,886227895953
2650,824142126769
2651,190151740808
2652,889899812266
2653,889233536254
2654,888793835487
2655,884116205937
2656,888462323772
2657,888462181235
2658,638267987125
2659,889233977576
2660,884116167457
2661,884116166511
2662,190151024014
2663,888182304808
2664,885909924684
2665,190151598829
2666,889899544174
2667,889894316073
2668,889349200438
2669,888228912202
2670,889894560643
2671,889894276414
2672,889661133452
2673,888863386888
2674,190404139465
