,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
30,8.87276E+11,293307861,Samsung,,XE500C13-K02US,293307861,887276124032,00887276124032,,2-cell,,,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,,Chromebook,XE500C13-K02US,Samsung,,Chromebook 3 Chromebook,,Samsung,4 GB,LPDDR3, Chromebook 3 Chromebook Lithium Polymer Battery AC Adapter ,Yes,RoHS /  ENERGY STAR,Yes,Yes,IEEE 802.11ac,2.54 lb,Metallic Black,,,,,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
31,8.88794E+11,284160076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8.88794E+11,281810193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,8.88864E+11,290558326,ACER- CHROME PRODUCTS,,NX.GC1AA.001,290558326,888863528134,00888863528134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8.89955E+11,292338362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,8.87276E+11,270777035,Samsung,,XE500C12-K01US,270777035,887276039022,00887276039022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6.9686E+11,288752367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8.84116E+11,276661920,Dell,,i3451-1001BLK,276661920,884116164890,00884116164890,,4-cell,6 Hour,,Yes,Yes,,,,16:9,1366 x 768,"14""",Intel,HD Graphics,DDR3L SDRAM,Shared,TrueLife,Notebook,i3451-1001BLK,"Dell, Inc",14-3451,Inspiron 14 3000 14 3451 Notebook,14 3000,Dell,2 GB,DDR3L SDRAM,Inspiron 14 3000 14 3451 NotebookAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,4.43 lb,Black,,,,No,,2.16 GHz,Celeron,N2840,Dual-core (2 Core),Intel,Windows 8.1 with Bing (English),64-bit,Windows,,,,No,
45,8.84116E+11,292343222,Dell Computers,,I3452-600BLK,292343222,884116168423,00884116168423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,8.879E+11,270277485,Acer,,NX.MLVAA.001,270277485,887899756016,00887899756016,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MLVAA.001,"Acer, Inc",E5-531-C01E,Aspire E5-531-C01E Notebook,E5-531,Acer,4 GB,DDR3L SDRAM,Aspire E5-531-C01E NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,,"1.2""","15""","10.1""",DVD-Writer,,1.40 GHz,Celeron,2957U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
