UPC,amazon_UPC,amazon_image,amazon_link,amazon_price,amazon_sales_rank
889894705228,889894705228,http://ecx.images-amazon.com/images/I/51pUo2BQB9L.jpg,http://www.amazon.com/HP-Workstation-Ultrabook-T6E16UT-ABA/dp/B01A3N6SCW%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01A3N6SCW,1749.95,99539
190151427211,190151427211,,http://www.amazon.com/Lenovo-ThinkPad-Design-Notebook-20GQ000EUS/dp/B01AS8QTWQ%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01AS8QTWQ,1998.0,30827
889842019438,889842019438,http://ecx.images-amazon.com/images/I/41yRDqilgHL.jpg,http://www.amazon.com/Microsoft-Surface-Pro-Intel-Core/dp/B01606NQ62%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01606NQ62,1829.0,397
889955256676,889955256676,http://ecx.images-amazon.com/images/I/31qXri%2B-t%2BL.jpg,http://www.amazon.com/Lenovo-15-6-Inch-GeForce-Graphics-80NV0029US/dp/B014MIBWIO%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014MIBWIO,849.0,438
884116204107,884116204107,http://ecx.images-amazon.com/images/I/419DWJfUXuL.jpg,http://www.amazon.com/Dell-Inspiron-i7559-2512BLK-Generation-GeForce/dp/B015PYZ0J6%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB015PYZ0J6,811.86,128
725184119309,725184119309,http://ecx.images-amazon.com/images/I/21T5Zz%2B-JrL.jpg,http://www.amazon.com/255-1-4-4GB-500GB-CAM/dp/B014DTPWWY%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014DTPWWY,290.47,6577
888462866446,888462866446,http://ecx.images-amazon.com/images/I/41AerRC5u6L.jpg,http://www.amazon.com/Apple-MMGG2LL-MacBook-13-3-Inch-VERSION/dp/B01EIUP20U%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01EIUP20U,1177.99,238
885909918164,787468123990,http://ecx.images-amazon.com/images/I/51nHbuhKnqL.jpg,http://www.amazon.com/Apple-MF839LL-13-3-Inch-Processor-Yosemite/dp/B00UGBMRQ8%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00UGBMRQ8,1195.0,133
889349186787,787468122290,http://ecx.images-amazon.com/images/I/41WMpzJ2HzL.jpg,http://www.amazon.com/UX305-13-Inch-Laptop-PREVIOUS-MODEL/dp/B014VHWFKA%3Fpsc%3D1%26SubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB014VHWFKA,679.99,1881
884116167495,809395312022,http://ecx.images-amazon.com/images/I/314GNwK4AqL.jpg,http://www.amazon.com/Dell-XPS9343-1818SLV-Ultrabook-i5-5200U-Processor/dp/B012XZJZNC%3FSubscriptionId%3DAKIAJZXUIQUQZ34J3E5Q%26tag%3Ddjaroo10-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB012XZJZNC,724.89,13615
